7/24/2020,GHOST,OBY,2-0
7/24/2020,R,EUN,2-0
7/25/2020,SSG,PK,2-0
7/25/2020,SNG,RNG,2-0
7/26/2020,GHOST,EUN,2-1
7/26/2020,RNG,OBY,2-0
7/31/2020,SNG,SSG,0-2
7/31/2020,R,PK,2-0
8/1/2020,GHOST,RNG,2-1
8/1/2020,PK,EU,2-0
8/2/2020,R,SNG,2-1
8/2/2020,SSG,OBY,2-0
8/7/2020,GHOST,PK,2-0
8/7/2020,SSG,RNG,2-0
8/8/2020,R,OBY,2-0
8/8/2020,SNG,EU,2-0
8/9/2020,GHOST,SSG,2-0
8/9/2020,SNG,PK,2-0
8/14/2020,EU,OBY,0-2
8/14/2020,R,RNG,2-0
8/15/2020,GHOST,SNG,0-2
8/15/2020,R,SSG,1-2
8/16/2020,RNG,EU,2-1
8/16/2020,PK,OBY,2-0
8/1/2020,GHOST,R,0-2
8/21/2020,SNG,OBY,2-0
